num_splines 1

surface_of_revolution
bspline
num_vertices 16
0.000000 -3.000000 0.000000
0.000000 -3.000000 0.000000
0.000000 -3.000000 0.000000
1.500000 -3.000000 0.000000
3.333333 -3.066667 0.000000
3.900000 -0.966667 0.000000
2.133333 1.700000 0.000000
4.266667 3.866667 0.000000
4.600000 3.266667 0.000000
2.700000 1.500000 0.000000
4.133334 -0.833333 0.000000
4.066667 -3.300000 0.000000
2.000000 -4.000000 0.000000
0.000000 -4.000000 0.000000
0.000000 -4.000000 0.000000
0.000000 -4.000000 0.000000
